pos_z,time,pos_y,heading,agent_id,pos_x
0.5,0.0,0.0,0.0,1,0.0
0.5,0.0,-1.0,0.0,2,-0.5
0.5,0.0,1.0,0.0,3,-0.5
0.5,0.0005907374249102042,0.0,0.0,1,0.003999999999999992
0.5,0.0005907374249102042,-1.0,0.0,2,-0.496
0.5,0.0005907374249102042,1.0,0.0,3,-0.496
0.5,0.0011814748498204083,0.0,0.0,1,0.00799999999999996
0.5,0.0011814748498204083,-1.0,0.0,2,-0.49200000000000005
0.5,0.0011814748498204083,1.0,0.0,3,-0.49200000000000005
0.5,0.0017722122747306126,0.0,0.0,1,0.012
0.5,0.0017722122747306126,-1.0,0.0,2,-0.488
0.5,0.0017722122747306126,1.0,0.0,3,-0.488
0.5,0.0023629496996408167,0.0,0.0,1,0.016000000000000004
0.5,0.0023629496996408167,-1.0,0.0,2,-0.484
0.5,0.0023629496996408167,1.0,0.0,3,-0.484
0.5,0.002953687124551021,0.0,0.0,1,0.020000000000000007
0.5,0.002953687124551021,-1.0,0.0,2,-0.48
0.5,0.002953687124551021,1.0,0.0,3,-0.48
0.5,0.0035444245494612252,0.0,0.0,1,0.023999999999999997
0.5,0.0035444245494612252,-1.0,0.0,2,-0.476
0.5,0.0035444245494612252,1.0,0.0,3,-0.476
0.5,0.00413516197437143,0.0,0.0,1,0.027999999999999962
0.5,0.00413516197437143,-1.0,0.0,2,-0.47200000000000003
0.5,0.00413516197437143,1.0,0.0,3,-0.47200000000000003
0.5,0.004725899399281633,0.0,0.0,1,0.03199999999999997
0.5,0.004725899399281633,-1.0,0.0,2,-0.468
0.5,0.004725899399281633,1.0,0.0,3,-0.468
0.5,0.005316636824191838,0.0,0.0,1,0.03599999999999987
0.5,0.005316636824191838,-1.0,0.0,2,-0.46400000000000013
0.5,0.005316636824191838,1.0,0.0,3,-0.46400000000000013
0.5,0.005907374249102042,0.0,0.0,1,0.039999999999999925
0.5,0.005907374249102042,-1.0,0.0,2,-0.4600000000000001
